data,type
"The tiny girl dressed in a butterfly ballet costume, waves her wand near a nutcracker statue.",sentence
Young girl waving turquiose leotard and pink tutu with wings waving wand.,sentence
A person is doing tricks on a bicycle in a city.,sentence
Man standing on a bike downtown.,sentence
A man on a bicycle in the city.,sentence
Two people walking on the street with lots of bare trees around and snow on the ground.,sentence
Two adults walking in the street in a suburban area,sentence
Two people walking on a street with barren trees.,sentence
Two people walking across a street.,sentence
"At night, a kid in a white shirt rides the rails on his skateboard.",sentence
Men flee a bull during a bull-riding competition.,sentence
A bull charging at a bull rider in a live rodeo.,sentence
Three boys in rollerblades sitting by a brown wall while the other boy skates on the wall.,sentence
Three helmet-wearing roller-blading children are next to a skating young adult.,sentence
Group of rollerskaters in a skate park.,sentence
Kids watching a man skating.,sentence
DHL employees posing for a company photo in front of their business.,sentence
The staff of a DHL pose outside of the building for a group photo.,sentence
A group of DHL employees pose in the parking lot for a photograph.,sentence
A group of employees are posing for a photo outside of a building.,sentence
An elderly man and woman are sitting on lawn chairs holding onto the leash of a brown dog.,sentence
Some people in a park with a dog and folding chairs.,sentence
People sitting in chairs while dog lies in grass,sentence
People sit in chairs at a park with a dog.,sentence
Person wearing a helmet on a four wheeled bike in air,sentence
A man riding an ATV makes a jump over a dirt road.,sentence
A racer on an ATV leaves the ground in a jump.,sentence
A man driving a four-wheeler off-road.,sentence
"There are five white individuals on a stage in a line, the outer four are looking inward toward the middle individual who has a beard.",sentence
A group of people sitting in a semicircle are talking into microphones.,sentence
Older gentleman and woman sitting around debating topics.,sentence
Five people taking part in a discussion on a stage.,sentence
A blond-haired man with glasses and a blank tank top is sitting next to another man with glasses and headphones while sitting on a train.,sentence
A blond man wearing glasses is sitting in the train looking down at something.,sentence
White man with glasses sitting next to another man who has earphones in.,sentence
A 30 somethings man playing with his phone on a subway train.,sentence
Many people are sitting at wooden tables overlooking snow covered mountains.,sentence
A large group of people with snow covered mountains in the background.,sentence
A group of people sit outside a restaurant at a ski lodge.,sentence
People dine outdoors at a lodge on a snowy mountain.,sentence
"A marathon runner wearing a numbered bib is running up a two lane street, trailed by a car and motorcycles as spectators holding umbrellas look on.",sentence
"In the pouring rain, a marathon runner smiles big as he approaches groups of bystanders, as the pace car drives along behind him.",sentence
"A young, black male athlete in a red uniform is running a race on a road in the rain.",sentence
There is a jogger jogging on a road with a car and motorcycles following him.,sentence
Three small children are playing with a yellow toy on a tiny green table.,sentence
Three children are playing with a yellow toy on a green pillow.,sentence
Three children playing with a bright yellow toy.,sentence
Three children play with a toy.,sentence
A woman wearing a yellow and white outfit is exiting the vehicle while using city transportation.,sentence
Several people are sitting or standing in a public transportation vehicle,sentence
People sitting or standing on a bus.,sentence
Some people in a subway train.,sentence
Two people riding horses in a competition with other people on horses in the background.,sentence
Two people are riding horseback in a field with a group of people far behind them.,sentence
"Two people, each on a horse, riding English style in a competition.",sentence
Two people in jockey outfits are riding horses in a field of grass.,sentence
A large dog and a small one walk with their toys.,sentence
Two dogs playing outside near the water.,sentence
Two dogs play with each other outdoors.,sentence
Two dogs walking with their toys.,sentence
"The lady with the red-hair, blue, orange, and maroon jacket is getting photographed by a woman wearing a blue sweater in front of a clothing store, judging by that mannequin.",sentence
"Many people busily working, watching a presentation, or talking to each other.",sentence
A woman in a pink v neck shirt is typing on a keyboard plugged into a laptop.,sentence
"As others wait outside the public building for the doors to open, one young Irish dancer practices her jig.",sentence
A girl outside a building dressed in crazy clothes jumping in the air.,sentence
Skipping gets me (and my rat tail) to work Faster!,sentence
A young girl skips in the middle of a crowd.,sentence
"Cheerleader on top of a cheerleading pyramid, girls are looking up at her one is in the background doing the same cheer.",sentence
A group of cheerleaders are lifting up two other cheerleaders above their heads.,sentence
Cheerleaders dressed in red and black hold two cheerleaders above their heads.,sentence
Someone is laying in front of the TV eating food.,sentence
A television with a picture of a girl on it.,sentence
A man with a bowtie made out of a dollar and wearing glasses is looking into the camera.,sentence
An old man wearing a green bowtie and glasses looking toward the camera.,sentence
A man with a bowtie looks at the camera with no expression.,sentence
A man wearing glasses and a green bowtie.,sentence
A man in a black shirt and gray pants holds his luggage at what appears to be an airport.,sentence
A man wearing a black short-sleeve shirt is waiting in line with his luggage.,sentence
An Oriental traveler awaits his turn at the currency exchange.,sentence
Man in black shirt waiting with luggage.,sentence
"Several people, including a man in a pink and black striped shirt who is taking a picture of something off-camera, are in a city park.",sentence
A man wearing a pink shirt with stripes on it is taking a picture while a man wearing an orange shirt is looking at him.,sentence
A man wearing a striped pink shirt is taking a picture.,sentence
A man at a park is taking pictures.,sentence
Three women and a man in a green shirt are watching the water on a boat.,sentence
"Four people, three girls, one boy, are in a boat.",sentence
Four people riding in a boat on the water.,sentence
A group of children ride in a boat.,sentence
The large brown dog is running through the grass to catch a red Frisbee.,sentence
A brown dog is chasing a red Frisbee across a grassy field.,sentence
A dog surrounded by trees runs to catch a Frisbee.,sentence
A dog runs for a red Frisbee.,sentence
A white dog wearing a red tag with brown on the left side of its face is jumping into the water.,sentence
A white dog with brown marks jumps from the bank into the water.,sentence
A white dog is running into a river.,sentence
A white dog runs into a lake.,sentence
"One woman holds a pen, about to write on a piece of paper held by another woman.",sentence
Two woman marking a paper while standing in a crowd of people.,sentence
Two women with short hair are discussing something.,sentence
Two woman are reviewing a paper.,sentence
A dog's mouth opens to expose its sharp teeth.,sentence
Two dogs play with each other on a wood floor.,sentence
Two dogs play on the wooden floor inside.,sentence
A dog tries to bite another dog.,sentence
A teenage boy in rides a hand-railing on a skateboard outside a columned brick building.,sentence
A boy in a blue and white tie dye t-shirt is skateboarding on the railing of a building.,sentence
A boy in a tie dyed shirt is riding a skateboard down a railing.,sentence
A skateboarder goes down a stair railing.,sentence
"Woman wearing a black sunhat, black dress and black Ugg clogs, walking in a city square.",sentence
A young woman dressed in black walking on pavement in front of a lake,sentence
A woman in a black dress walking by the water.,sentence
An oriental girl walking in front of water.,sentence
Two brown dogs are playing with each other in the snow.,sentence
Two dogs playing or fighting in the snow.,sentence
Two brown dogs play in the snow.,sentence
Two dogs playing in the snow.,sentence
A Quattro crane is operating during the train station construction.,sentence
A piece of heavy machinery unloads something from a train car.,sentence
A construction crew working at nighttime.,sentence
A large crane lifting an object.,sentence
An construction worker in a lime-green safety vest and orange hard hat is looking closely at something held in his hands.,sentence
A construction worker looking at his cup of coffee.,sentence
The construction worker has on an orange hard hat.,sentence
A construction worker on the job.,sentence
A black and white dog jumping out of the water and a brown dog shaking off.,sentence
A brown dog and a black and white dog stand beside a hole in the dirt.,sentence
Two dogs are shaking themselves dry on the path next to the water.,sentence
Two dogs are shaking water off.,sentence
The skateboarder in the white t-shirt is riding on a wooden ramp.,sentence
A skateboarder hits a curve at the top of the skate park.,sentence
The man in a white shirt is skateboarding.,sentence
A man is skateboarding up a ramp.,sentence
A toddler sits on the floor amid a floury mess that he has created with his hand still in the flour container.,sentence
A toddler sits on a white rug and plays with a cup of flour.,sentence
A child is playing in with paint in the kitchen.,sentence
A little boy play with flour on the floor.,sentence
The man sitting seems to be reading while waiting for the bus while the people in the background seem to blend in with the landscape.,sentence
The old man is sitting alone in the park possibly eating a snack or lunch.,sentence
Two girls sit on a wooden floor huddled next to each other.,sentence
Two girls are sitting on a wooden floor.,sentence
The two friends are having fun.,sentence
Three men sitting on a couch and eating food while beers lay on the table.,sentence
Three men are sitting on a sofa having a casual meal at the coffee table.,sentence
Three males are sitting on a sofa with beers on a table in front of them.,sentence
Three men eating food on a couch.,sentence
Six casually dressed people watch from the comfort and protection of a wooden rail while a restaurant employee stands in the background.,sentence
A group of six people are standing next to a white fence.,sentence
Six people stand at the railing at the El Tambor.,sentence
Crowd of people standing near a bench.,sentence
The operator of an ice cream truck standing in the window of his truck looking at something to his right through the open window.,sentence
Tattooed guy in a white shirt looking out of a Ice cream truck window.,sentence
An ice cream truck driver stares out the truck window.,sentence
A man stands in a white ice cream truck.,sentence
People are playing instruments next to a piano while a person in a white coca-cola shirt watches.,sentence
"A fun jam session with guitarist, drummers and piano mover elderly man to dance away.",sentence
People playing musical instruments in a building.,sentence
A band practicing with viewers.,sentence
An African American woman sitting on a seat holding her purse talking on her cellphone.,sentence
An African American woman is sitting on a bench talking on her cellphone.,sentence
A girl in a black jacket talking on a cellphone.,sentence
A woman sitting down talking on the phone.,sentence
A group of people are disembarking from a boat at a harbor on a bright sunny day.,sentence
People stand on boat dock waiting for their boat to arrive.,sentence
A crowd next to a lake on a port next to a boat,sentence
Many people stand on a dock near a boat.,sentence
Small child in lavender coat flips through a paperback book while sitting on a multicolored bench in front of classroom supplies.,sentence
In the snow a person on a board traverses down a concrete wall beside bleachers.,sentence
The yellow dog is running next to a bush on a path in the grass.,sentence
A beige dog runs through the shrubbery toward the camera.,sentence
A blond dog runs down a path next to a rhododendron.,sentence
The dog is running through the yard.,sentence
A little girl is eating cake and strawberries at a wooden table.,sentence
A girl wearing a halter top eats cake at a table.,sentence
The little girl is eating outdoors.,sentence
A little girl holds up her plate.,sentence
"Four women grouped together, three of them looking at the camera and one of them standing, in a backyard.",sentence
Four women sitting on green outdoor furniture on a patio with a small doghouse in the backdrop.,sentence
5 girls sitting around a green patio set outside on the deck.,sentence
Four women are on a porch.,sentence
People in a bounce house shaped like a castle with several people sitting and watching.,sentence
A large grassy field with a children's jumping castle.,sentence
Two boys bounce in a castle shaped bounce house.,sentence
Kids play in a blow up playground.,sentence
A man wearing a coat and floppy hat pushes a blue shopping cart full of bags.,sentence
A homeless man pushes an overfilled plastic blue shopping cart.,sentence
Old man in a dark coat pushing a cart filled with sacks.,sentence
A man pushes a shopping cart full of aluminum cans.,sentence
A heavyset couple sitting in lawn chairs on the grass with a brown dog at their feet.,sentence
Some people in a park with a dog and folding chairs.,sentence
People sitting in chairs while dog lies in grass,sentence
People sit in chairs at a park with a dog.,sentence
A dog standing up on two legs with something in his mouth.,sentence
A dog is jumping up in the air to catch a toy.,sentence
Dog jumping up with something in its mouth.,sentence
A blurry dog inside on a carpet.,sentence
A bald policeman is walking with a German shepherd dog by a metal crowd control barrier.,sentence
A policeman walks away from a gate with a large brown and black dog.,sentence
The policeman walks with his German shepherd.,sentence
A policeman is next to his German shepherd.,sentence
A young girl with long brown hair holding a black and red striped stick.,sentence
A soft focus picture of a little girl wearing an orange sweater.,sentence
A girl wearing an orange shirt holds onto poles and looks down.,sentence
The girl in the red shirt smiles on the swing.,sentence
A boy in a red hooded-coat is riding a pool broom like a horse in an empty pool.,sentence
The child in raingear is dragging a broom through a puddle.,sentence
A little kid in a red jacket riding a broom like a horse.,sentence
Boy in raincoat straddle stick outside.,sentence
A man in a hooded sweatshirt and a black hat with the words 'probuilt' stitched across is using a handsaw on wood for a construction project.,sentence
A skillful construction worker sits high on a ledge while using a circular saw to trim wood to the precise size.,sentence
A man is making a cut on a piece of board with an electrical saw.,sentence
A man performing dangerous job duties.,sentence
"A girl in a blue dress stands on a wooden plank that's affixed to a tree, staring downward while maintaining her balance.",sentence
A little girl in a blue dress climbing on some old wood.,sentence
A little girl ventures on a collapsed tree house.,sentence
A young girl climbs the supported tree.,sentence
Two older women in bathing suits are intrigued by a man walking down the stairs with a white parachute over his head.,sentence
Two women in bathing suits watching people on the steps with a huge white bubble.,sentence
Two women in swimsuits by a bench are staring up at a giant white balloon.,sentence
Old people sitting on a bench staring at a odd shaped balloon.,sentence
A little girl in a red jumpsuit is posing in a tree she has climbed.,sentence
"A young, blond girl is sitting in a tree in a snowy environment.",sentence
"This girl is clad in a red snowsuit, climbing a tree.",sentence
Little girl in a tree during the winter.,sentence
A cowboy at a rodeo is roping a cow while riding a horse.,sentence
On horseback a man attempts to rope a young bull.,sentence
A cowboy is roping a steer while riding a horse.,sentence
A man on a horse lassos a cow.,sentence
A Little boy in a red striped shirt on a blue couch pulling out all the pillows.,sentence
A young boy is inside a couch cushion with stuffing hanging out.,sentence
A little boy in a plaid shirt looks up as he lays on a blue sofa,sentence
A child is sitting on a couch with a ripped cushion.,sentence
"An old woman wearing a pink, floral dress is walking while holding a magazine under her arm.",sentence
An elderly woman wearing a pink floral dress carrying some magazines.,sentence
An elderly woman dressed in pink is walking and clutching a magazine.,sentence
An elderly woman in a pink dress carrying a magazine.,sentence
A man in a white t-shirt is walking past 2 graffiti paintings on the wall.,sentence
Man in light shirt and blue jeans walking by graffiti.,sentence
Man running next to artwork wall.,sentence
A man walking down the street.,sentence
Three men all dressed in red shirts and jeans are sitting in front of a building enjoying some beers.,sentence
"A group of three bald men in red sitting on a railing, smoking and talking.",sentence
Three bald men wearing red look on.,sentence
Three guys are wearing red shirts.,sentence
There is a performance with a man in a t-shirt and jeans with a woman in all black while an audience watches and laughs.,sentence
"A woman dressed in jeans and a shirt, auditioning for a play, while a man waits for his turn.",sentence
Small child in lavender coat flips through a paperback book while sitting on a multicolored bench in front of classroom supplies.,sentence
"A black girl in a purple jacket is looking at a book, as she sits on a colorful chair.",sentence
A very young female is sitting and looking at a book she is about to open.,sentence
A female child turns the page of a book while she sits on a colorful stool,sentence
A tan dog and a black dog fighting inside a fenced yard.,sentence
Two dogs biting each other playfully while jumping,sentence
A German shepherd and a tan dog are fighting.,sentence
A brown dog is biting a black dog.,sentence
"Skateboarding wearing black pants, a white shirt, and a blue hat performing a skateboarding trick while three spectators look on in the background.",sentence
"A man is skateboarding in a park, and he is on a wall, and there are other skateboarders in the background.",sentence
A skateboarder is perfecting his trick on a wall.,sentence
A skateboarder grinds on a cement obstacle.,sentence
"An Asian girl makes a surprised face while wearing a shirt that says ""Radio""",sentence
An asian girl looking surprised in front of a brick window,sentence
Girl wearing radio t-shirt has open mouth,sentence
A lady looks surprised.,sentence
"Two men, one younger than the other and wearing glasses, sit on the beach in shorts and read magazines.",sentence
Two people on the beach reading a magazine.,sentence
Two men sitting in sand reading magazines.,sentence
Two men are sitting in the sand reading.,sentence
A man with long dreadlocks is stopped by two men in blue uniforms.,sentence
A police officer is talking to a tall man with dreadlocks.,sentence
A man with long hair getting stopped by security guards.,sentence
Tall man being stopped by an officer.,sentence
A lady with a red T-shirt is sitting in a green chair and talking while using her laptop.,sentence
Brunette woman wearing a red t-shirt lounging outside with a laptop on her lap.,sentence
Man wearing a cowboy hat riding a horse.,sentence
A little girl with a flower on her swimsuit stands on a lake-beach while others frolic in the background.,sentence
A young girl in a swimsuit stands silently on a small beach.,sentence
A little girl on the beach with a shovel in hand.,sentence
Little girl standing in sand at the beach.,sentence
A girl with frizzy red-hair under an army cap and thick white rimmed glasses smiles as she paints a very colorful abstract painting on the beach while surrounded by other beach goers.,sentence
A girl wearing a tan shirt and blue shorts smiles while painting.,sentence
The lady is creating a painting outside.,sentence
A woman painting at an outdoor festival.,sentence
"3 men on a boat at sea, with multiple seagulls in the background.",sentence
The gentlemen are on the boat deck relaxing.,sentence
These fisherman are on a boat out to sea.,sentence
Several men are outside on a boat.,sentence
A young child smiling while on a swing at a playground.,sentence
The small child is leaning back in a child swing.,sentence
A blond boy in green is on a swing.,sentence
Toddler boy smiling while in a swing,sentence
Police and the crowd look on in Asia.,sentence
Child running on a sidewalk.,sentence
"As the camera looks out from a car window, men put out a fire in a pickup truck by the side of the road.",sentence
A man running to help a car from burning after a hot sunny day in Grand Canyon.,sentence
A fireman douses a red truck that is smoking as a police officer approaches.,sentence
There is a truck on fire.,sentence
"Two men, one in a suit jacket and the other in a sweatshirt, are talking at a party.",sentence
Two men are standing in a group appear to look at something.,sentence
Two men in a group of people looking down at something.,sentence
People gather together in an art gallery.,sentence
Blond-haired girl in pink dress with blue striped hula-hoop swinging around her neck.,sentence
A little girl in a pick dress hula hoops with her neck outside.,sentence
A girl wearing a pink dress swings a hula hoop around her neck.,sentence
Blond girl paying with a hula hoop.,sentence
People gathered around an olive vendor at a farmers market.,sentence
Many people outside at a busy street market,sentence
Two women with black hair wearing flower leis standing in a store with a baby in a baby stroller.,sentence
Two women are standing in a store with a baby in a blue stroller.,sentence
Two women and a baby in a stroller in front of a store.,sentence
Two women with black hair wearing flower leis standing in a store with a baby in a baby stroller.,sentence
Two women are standing in a store with a baby in a blue stroller.,sentence
Two women and a baby in a stroller in front of a store.,sentence
A picture of some people and a baby in a store.,sentence
A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing.,sentence
A woman crouches and takes a picture of another woman holding her hand to her head.,sentence
A girl posing on a open stone walkway for a picture taken by a friend.,sentence
A woman kneels to take a photo of another woman in an open plaza.,sentence
"Two toddlers, one wearing purple, and the other wearing white, sit before each other on a wood floor.",sentence
A blond baby is watching a dark-haired baby chew on a blue toy.,sentence
Two babies are sitting on the floor facing each other.,sentence
"Two babies looking at each other, one with a toy.",sentence
"A little girl wearing a pink, yellow and white bathing suit, gets wet from a splash of water.",sentence
The young girl enjoys the day in her swimsuit while splashing playfully in the water.,sentence
Little black girl in a swimming suite is being sprayed by a water fountain.,sentence
A black girl being splash in water.,sentence
Two little girls are sitting in a sandpit next to a row of sand castles.,sentence
Two young girls making upside down cupcake shapes in the sand.,sentence
Two little girls make sandcastles in a sandbox.,sentence
Two girls play in a sand box.,sentence
A group dressed in wintery attire of people on a sidewalk in Washington D.C.,sentence
A crowd of people views newspaper covers in Washington D.C.,sentence
A crowd of people in front of a memorial in Washington DC.,sentence
Lots of people gathering in a line.,sentence
"A group of six caucasian men are standing on scaffolding laughing, drinking water, and taking pictures.",sentence
A group of people are gathered on a scaffold at some sort of event.,sentence
Some men are standing on scaffolding.,sentence
Men wave from scaffolding.,sentence
"Two children in a balloon that lets them walk on water, having fun on a sunny day.",sentence
These kids are testing out the new balloons allowing them to walking over water.,sentence
Two boys in huge bubbles on the water.,sentence
Cannot see picture to describe.,sentence
A little blond-haired girls peers at the camera through the leaves on the tree that she sits on.,sentence
A young girl looking down through some leaves from atop a tree.,sentence
A little blond girl with a pink coat hides in a tree.,sentence
The young girl happily plays in the tree.,sentence
"Four people gather around a food truck, two sitting and two standing near the condiments table and a trashcan.",sentence
A woman in a pink sweater sitting next to a man in a white windbreaker in front of a mobile food van.,sentence
Two people are sitting down next to a white van and eating.,sentence
A small group of people are visiting each other outside.,sentence
A couple in their wedding attire stand behind a table with a wedding cake and flowers.,sentence
A bride and groom are standing in front of their wedding cake at their reception.,sentence
A couple stands behind their wedding cake.,sentence
Man and woman cutting wedding cake.,sentence
A film crew documents a female track-and-field athlete in the act of throwing a javelin.,sentence
A female is throwing a javelin while a cameraman records her.,sentence
Cameramen filming an athlete throwing a javelin.,sentence
A woman is throwing a javelin on a pink track.,sentence
Two woman marking a paper while standing in a crowd of people.,sentence
Two women with short hair are discussing something.,sentence
A woman reading and signing a paper.,sentence
Two woman are reviewing a paper.,sentence
"The person wearing shorts and a shirt is jumping off a dock, into the water.",sentence
A man jumps off of a dock and into the water.,sentence
A person jumping off a dock into water.,sentence
Person jumping into the water.,sentence
A woman in white makeup and a purple dress sits in a folding chair on the curb.,sentence
A man dressed as a woman wearing face paint sitting next to another man.,sentence
Man in purple dress and makeup sits next to normally dressed man.,sentence
A man sitting awkwardly by a masked woman.,sentence
The man sitting seems to be reading while waiting for the bus while the people in the background seem to blend in with the landscape.,sentence
A calm street corner with a man sitting on a stool looking at something on a small platform.,sentence
A man is sitting down and drawing on a public street.,sentence
A man on a street corner works on a drawing.,sentence
A young red-haired child is about to take a bite of a blue frozen snack.,sentence
A group of little kids enjoy sandwiches and a slush at a picnic.,sentence
Three children enjoying treats at an outdoor event.,sentence
Children are eating various stuff at a park.,sentence
"Two men standing, both in shorts, in a crowd of others outside on the grass, some sitting and some standing.",sentence
Two men in black shirts are standing outdoors near a few other people in the grass.,sentence
Two men are waiting in line at a park where other people are seated on the ground.,sentence
Two older men are walking through a crowd.,sentence
"Four people gather around a food truck, two sitting and two standing near the condiments table and a trashcan.",sentence
A woman in a pink sweater sitting next to a man in a white windbreaker in front of a mobile food van.,sentence
Two people are sitting down next to a white van and eating.,sentence
A small group of people are visiting each other outside.,sentence
People are walking down a street near a subway opening.,sentence
People milling around on corner of city street.,sentence
People walking outside a transport station.,sentence
A man wearing a red boxing uniform throws a punch with his right hand as a man wearing blue boxing gloves and headgear blocks the punch.,sentence
"A boxer wearing red is punching a boxer wearing white and blue, while both men are wearing boxing gear.",sentence
A boxer in red with an intricate tattoo gives his opponent a right hook to the head.,sentence
Two men are duking it out in a boxing ring.,sentence
A man with glasses and red facial hair tells a story to two smiling men.,sentence
A bearded man with a hat and glasses talks while two other men listen.,sentence
Three men were involved in a light hearted discussion.,sentence
Man in black baseball cap talking to two other men.,sentence
Many people are gathered on the side of a road with camera watching whatever is oncoming.,sentence
A crowd of people behind the fence waiting with cameras ready for something approaching.,sentence
"A group of people are standing behind a fence, many are taking photographs.",sentence
Police and the crowd look on in Asia.,sentence
People congregate on a platform in a river among decorated boats.,sentence
People are gathered on a platform in water for a ceremony.,sentence
A group of people waiting to ride boats.,sentence
People wait to board boats.,sentence
People are walking on the sidewalk along the parking lot in front of a home improvement store.,sentence
Three people are picking up trash in front of a restaurant.,sentence
People taking a walk on a path in a shopping center.,sentence
A couple walking on a sidewalk along a strip mall.,sentence
A woman in blue shorts and white shirt holds a tennis racket on a blue tennis court.,sentence
A woman in a white top and blue shorts is playing tennis.,sentence
Woman in a white shirt and blue shorts playing tennis.,sentence
A blond woman wearing glasses is playing tennis.,sentence
A man with gray hair and a blond woman sitting on the same side of a table with bikes in the background.,sentence
"A man and woman at a table, the woman has a cup with drink in front of her.",sentence
There's a lady with her hands on her face and a guy sitting at a table.,sentence
A woman in a red sweater is sitting next to a man at a table outside.,sentence
A young man and woman in shorts and t-shirts are playing a video game.,sentence
A man is sitting in a chair and a woman is sitting on a floor.,sentence
Man and woman playing a video game in the living room.,sentence
A couple sitting and playing Nintendo.,sentence
A woman stands on a concrete block taking a picture of a group of people on a sidewalk beside the road.,sentence
A person standing on a pillar taking a group photo.,sentence
A group of people outside having their picture taken,sentence
A group of people having their picture taken.,sentence
"Two uniformed police officers are holding large guns, while an older man sits on the stairs, holding his hat and looking on.",sentence
Two armed police officers are patrolling the streets.,sentence
Three skateboarders are in a park.,sentence
A large black dog runs along a fence in the grass.,sentence
A dark brown dog is running along a fence outside.,sentence
A black dog is looking through the fence.,sentence
A brown dog runs along a fence.,sentence
Two cowboys ride their horses and they work together to catch the bull.,sentence
Three cowboys on horses work together to rope a calf.,sentence
A rodeo is going on with cowboys riding and roping.,sentence
The people are horseback riding.,sentence
A young man with his back to the camera is being watched by youths sitting at two picnic tables before a backdrop of grass and trees.,sentence
A teenage boy in a white shirt is speaking to a group of teenagers who are sitting at picnic tables in front of a park.,sentence
The man is gesturing towards the young adults who are sitting on park benches in front of a landscaped background.,sentence
A man talks to a group of people who are sitting on picnic tables.,sentence
Several people are standing in a crowded urban environment.,sentence
A little girl in a walker that looks like she may be up to no good.,sentence
"Cute little girl, with a pink hair bow her orange stroller.",sentence
A very young female child is smiling at a camera outdoors.,sentence
Baby in a rolling harness in the grass.,sentence
"A boy in a red plaid button-up shirt playing a guitar, with another boy playing an orange bass behind him, and another person playing a drum set.",sentence
"Two men rehearsing, one wearing a checker broad sweater and the other playing a orange guitar.",sentence
A group of young adults come together to perform song complete with drums and a guitar.,sentence
Young men perform in a band indoors.,sentence
Three men in white shirts dance and sing on a stage as a group of women watch from the sidelines.,sentence
Three adult men in a row with their arms around each other and seem to be singing.,sentence
Three men are standing on stage performing.,sentence
Friends having fun out for the night.,sentence
A person dressed in brown and gray walks down a long street lined with yellow-walled buildings with tiled roofs.,sentence
A man walks down an alley between cream colored houses.,sentence
A man is walking down a narrow street.,sentence
Man in black walking up a sidewalk.,sentence
A boy in a diaper jumps onto a bed with a striped covering and red pillow in a room with toys and a chair.,sentence
A boy in a diaper jumping onto a couch.,sentence
Young boy jumping on to his bed.,sentence
A child jumps onto a bed.,sentence
A shirtless man in black shorts is standing on the rocky shore to a large body of water.,sentence
A shirtless young man in black shorts stands on the rocks staring at the water.,sentence
"A man on a rocky beach, wearing a black bathing suit, staring at the water.",sentence
"A man wearing long, black shorts stands in front of a body of water.",sentence
"Two men of southeast Asian descent are sitting Indian style on a bamboo floor, playing chess while two young boys watch in the foreground.",sentence
Dark-skinned native men play chess while seated on the ground.,sentence
Several men are watching and enjoying a game of chess.,sentence
Two guys are sitting playing chess.,sentence
"A woman and a child sit together in a door frame along a gray sidewalk, as a man and two women walk past.",sentence
A man in a leather coat is walking down a brick sidewalk next to a woman wearing a colorful blue dress.,sentence
An old woman in a blue dress and a young child sit in a doorway while others walk by.,sentence
People walking a sitting in the city streets.,sentence
"Two men, one holding a white cup and the other holding a phone, stand inside a room during the daytime.",sentence
Two elderly men standing in front of a projector pull-down screen.,sentence
Two men in a classroom in front of a white screen.,sentence
Two older men in gray jackets.,sentence
"2 young childern in bathing suits and goggles, wearing swimsuits and sand toys playing on a bed.",sentence
Two young girls wearing swim goggles are sitting on a bed.,sentence
Two children are on a bed while playing with some toys.,sentence
The two babies wearing eye glass,sentence
"A young man wearing shorts, sandals, and a red shirt, stands next to a downed tree, blocking a path.",sentence
A man in a red shirt calling someone while a tree is down on the pavement.,sentence
A man in a red shirt looks at a fallen tree.,sentence
A man observes tree that has fell down.,sentence
"Woman playing tennis in a white outfit and white shoes, with 2 men watching from the sidelines.",sentence
A woman in a white tennis outfit has just performed a tennis serve.,sentence
A tennis player in a white outfit hits a tennis ball.,sentence
Young lady in a tennis match.,sentence
Wolf-like dog chasing white wiffle ball through a green field.,sentence
A multicolor dog chasing after a ball across the grass.,sentence
A dog chases a Nerf ball in the grass.,sentence
Dog chasing after a ball on the grass.,sentence
A woman in a denim jumper and another woman in a navy blue jacket are overlooking a mountain range.,sentence
Woman in blue jacket and woman in denim outfit with a group on a mountain.,sentence
A group of people are standing on a cliff in the mountains.,sentence
A woman with a tissue in her hand.,sentence
"Two young females one in strip shirt and one in white shirt, both with jackets in hand walking down street.",sentence
Two women walking down the sidewalk in the city communicating with one another.,sentence
Two women on a city street are smiling at each other.,sentence
Two women walking down a busy city street.,sentence
"Four boys, one on a skateboard, one on a scooter, and two standing, are at a skate park on a ramp with a scary looking face graffiti on it.",sentence
"At a skate park one man skateboards, one rides a scooter and 2 men record the skateboarder from below and above him.",sentence
"Two uniformed police officers are holding large guns, while an older man sits on the stairs, holding his hat and looking on.",sentence
Two commandos with gun by a staircase and an old man holding a hat is sitting on the stairs.,sentence
A man sits on the steps next to two men with rifles.,sentence
An older man sits next to two armed guards on steps.,sentence
A large crowd of spectators and photographers stands behind a barrier while two police officers stand guard.,sentence
Many people are gathered on the side of a road with camera watching whatever is oncoming.,sentence
A crowd of people behind the fence waiting with cameras ready for something approaching.,sentence
Police and the crowd look on in Asia.,sentence
"Five musicians, a man and four women, practicing sheet music (using flutes ) in a living room.",sentence
"People gathered in a circle, some holding musical instruments.",sentence
People gathered in a room to talk about their favorite tunes.,sentence
Five people are sitting in a circle with instruments.,sentence
Two children are riding through snow on a sled-like frame.,sentence
Two young children RIF=ding sleds down the snow.,sentence
Two kids riding on sleds,sentence
One man sets up his pool shot during a tournament while onlookers watch.,sentence
Man with black vest lines up a shot on a blue pool table.,sentence
"A woman in an American military uniform sits at a table and writes the words ""sad,"" ""depressed,"" and ""hatred"" on a large sheet of white paper.",sentence
A woman in a US military uniform is writing on a large piece of white paper with a black magic marker while others are sitting at tables around her.,sentence
"At a table with her colleagues, a woman in a U.S. Army uniform fills in a chart.",sentence
United States military personnel working on a group project.,sentence
A person is sleeping on a sidewalk next to a wall and covered by a green blanket.,sentence
Man in a green jacket and moccasins sleeping on a blue blanket in the street.,sentence
A person is laying on a blue blanket on a street sidewalk.,sentence
A person bundled and head covered laying on the sidewalk.,sentence
"This is the picture of a woman in a flowered dress, toting something in a bucket.",sentence
A girl in a flowered dress is carrying a pink bucket down a path next to a fence.,sentence
